*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA_v35 driver info:
*     Year: 2015, day: 291, System start
*     Year: 2016, day:  31, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Irrigation at min. moist. pressure; SWITIR=3
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	IR	WL0	CO2C	CH4C	N2ON	NH3	SOC	SON	DOY	CROPSTA	RAIN
 
   291.000    	  0.0000    	  28.000    	  31.000    	  0.0000    	  0.0000    	  10.000    	  8.1239    	  0.0000    	 2.05382E-02	 0.17725    	 1.42172E+05	  6740.4    	  291.00    	  0.0000    	  16.000    
   292.000    	  0.0000    	  28.000    	  31.000    	  0.0000    	  0.0000    	  13.971    	  6.4700    	  0.0000    	 1.96045E-02	 0.16341    	 1.42164E+05	  6739.7    	  292.00    	  0.0000    	  18.800    
   293.000    	  0.0000    	  29.000    	  31.000    	  0.0000    	  0.0000    	  21.262    	  6.7531    	  0.0000    	 2.05749E-02	 0.20375    	 1.42157E+05	  6739.1    	  293.00    	  0.0000    	  28.900    
   294.000    	  0.0000    	  29.000    	  31.000    	  0.0000    	  0.0000    	  37.970    	  6.9664    	  0.0000    	 2.10648E-02	 0.23242    	 1.42148E+05	  6738.4    	  294.00    	  0.0000    	  16.300    
   295.000    	  0.0000    	  29.000    	  31.000    	  0.0000    	  0.0000    	  41.879    	  7.1182    	  0.0000    	 2.10443E-02	 0.24696    	 1.42140E+05	  6737.7    	  295.00    	  0.0000    	  24.300    
   296.000    	  0.0000    	  27.000    	  30.000    	  0.0000    	  0.0000    	  54.879    	  7.1293    	  0.0000    	 2.09012E-02	 0.25445    	 1.42131E+05	  6737.0    	  296.00    	  0.0000    	  69.700    
   297.000    	  0.0000    	  26.000    	  30.000    	  0.0000    	  0.0000    	  85.000    	  6.8948    	  0.0000    	 1.98895E-02	 0.24044    	 1.42122E+05	  6736.2    	  297.00    	  0.0000    	  72.300    
   298.000    	  0.0000    	  27.000    	  32.000    	  0.0000    	  0.0000    	  85.000    	  7.0128    	 7.08000E-02	 1.99673E-02	 0.21016    	 1.42114E+05	  6735.5    	  298.00    	  0.0000    	  2.6000    
   299.000    	  0.0000    	  27.000    	  31.000    	  0.0000    	  0.0000    	  74.142    	  7.2435    	 0.34100    	 2.06994E-02	 0.21020    	 1.42106E+05	  6734.8    	  299.00    	  0.0000    	  26.800    
